"id","code","name","calories","protein","carbohydrates","fats","total_sugars","cholesterol","sodium","dietary_fiber","iron","calcium"
9187,51141248,"חלה מטוגנת בשמן קנולה ללא סוכר",236.8082733,8.603286743,32.12833023,7.987886429,1.782963634,89.52558136,713.5462646,2.04651165,0.979419947,42.26528549
9188,51141278,"חלה מטוגנת בשמן קנולה עם סוכר",284.4118347,7.986644268,32.70347595,13.46025753,4.527938366,83.10881042,290.5450134,1.899827361,0.907492638,39.0344162
9189,51231028,"לחם מחיטה מלאה ביתי עם שמן קנולה",228.411377,8.338989258,38.85325623,3.122979641,2.556699276,0,125.1444931,6.682120323,2.166141272,24.42744637
9190,51320028,"לחמניה ביתית, קמח לבן ושמן קנולה",324.8876648,10.02659321,50.12113953,7.840216637,4.32436657,80.98243713,261.3439636,3.004084826,1.390870094,28.1311264
9191,52206058,"לחם ללא גלוטן, מקמח תירס תפו""א ושמן קנולה, ביתי",322.3691711,4.99142313,32.41213608,18.9551754,3.812214136,68.49832153,447.5847168,2.652840137,0.782280564,58.02586746
9193,52308088,"לחמניות לפסח עם שמן קנולה",267.4434509,6.647143364,15.41273212,19.70896149,3.85552001,142.0941467,122.7022934,0.482492864,1.175231934,26.26469994
9194,52421028,"פריקסה - לחמניה טוניסאית ממולאת טונה, תפו""א, זיתים וקנולה",258.5984497,10.10027313,35.13920212,7.546470642,2.95320797,53.897995,276.0472717,1.982189178,1.063200474,30.91373253
9195,52421038,"לחמה עג'ין, ספיחה סורית עם שמן קנולה",229.0866699,10.15688896,27.49220276,7.913224697,1.110267162,33.75979614,353.5128479,1.619412065,0.96278739,21.51275635
9197,53116018,"עוגה בחושה, תפוזים עם שמן סויה",371.8173523,5.844938278,42.90348816,19.58447456,23.0373745,88.3021698,190.8507843,0.754799485,0.815218747,37.40369415
9198,53118578,"פאי תפוחי עץ מבצק פילו עם שמן סויה",235.5529175,3.698771238,36.62861633,8.009512901,10.36068153,0,126.8727722,1.680539012,1.584964871,8.310771942
9199,53118588,"פאי תפוחי עץ מבצק פילו עם שמן קנולה",235.5529175,3.698771238,36.62861633,8.009512901,10.36068153,0,126.8727722,1.680539012,1.581001401,8.310771942
9200,53118598,"פאי תפוחי עץ מבצק פילו עם חמאה",224.2964783,3.73840642,36.66825104,6.582639694,10.40031719,19.50059509,127.6654739,1.680539012,1.581001401,10.40351868
9202,53206018,"עוגיות שוקולד צ'יפס עם חמאה",445.7579346,4.866946697,62.43299103,19.4651413,39.07155228,100.1049042,485.1560364,0.832725763,0.817280889,84.61664581
9203,53233038,"עוגיות שיבולת שועל עם חמאה",425.789093,6.84265089,61.40973663,15.8579607,32.1158371,72.64213562,137.2528534,3.219500065,1.497973204,44.0773468
9204,53241528,"עוגיות עם ריבה על בסיס חמאה",454.6228943,4.900512695,59.60607147,21.26771927,28.27770805,86.81562042,112.1682892,1.217076063,0.677381694,30.34243202
9205,53241518,"עוגיות חמאה",521.6526489,6.509280205,53.62239075,30.31045914,15.72543049,154.8352966,7.728922844,1.386891365,0.786316037,25.29278946
9207,53420028,"פחזניות ללא מילוי על בסיס חמאה",249.6296234,7.700690746,14.2664156,17.35166359,0.296547383,206.7419891,68.50595856,0.508474588,1.011864424,34.83992386
9209,75103018,"כרוב לבן מטוגן בשמן קנולה",91.64967346,1.273198843,3.282465935,7.654050827,3.182997227,0,213.1046906,2.486716509,0.469164729,39.90834045
9210,75101018,"נבטים מוקפצים בשמן קנולה",54.42028427,3.118691444,4.247165203,2.859288931,4.236906528,0,6.155312061,1.846593499,0.933555663,13.33650875
9211,53441278,"דייסת סולת על בסיס חלב 3% וחמאה, ללא תוספת סוכר",100.9214478,4.403430462,12.17461967,3.600036621,4.201259136,10.45525074,45.8169899,0.426968366,0.155296057,93.33454895
9212,53441298,"עוגת סולת עם שמן קנולה",422.9676514,8.514666557,62.96044922,15.42601395,27.10236549,45.68104935,139.9062958,2.257769346,1.003187656,34.5868988
9213,58117428,"קובה בורגול מטוגן, נבלוסיה, עם פטריות מטוגנות בשמן קנולה",272.7197266,7.715745449,35.49185181,8.664178848,0.89795208,0,212.144577,8.403347015,1.24945581,18.9236927
9214,75219318,"פטריות מאודות עם שמן קנולה",43.9494133,3.757295609,2.748054266,2.358949423,2.407587528,0,383.1030884,1.215953231,0.611186743,3.881322861
9215,58117418,"קובה בורגול עם בשר עוף למרק",230.2150726,10.64647007,32.16586304,4.827819347,0.656589329,13.20403957,524.0134277,6.260127544,1.352955461,28.31601906
9216,58117438,"קובה סולת עם בשר כבש למרק",215.0919342,9.229756355,32.80503082,4.778028965,0.497638613,7.437911987,500.4942322,1.95866859,1.105699778,20.11573219
9217,75649018,"מרק סלק לקובה עם שמן קנולה",25.87747574,0.590801775,3.512816668,0.897462904,2.743069887,0.043661866,146.6650085,0.805855632,0.324644566,13.6126709
9218,75649078,"מרק סלק לקובה עם שמן סויה",25.87747574,0.590801775,3.512816668,0.897462904,2.743069887,0.043661866,146.6650085,0.805855632,0.325031638,13.6126709
